tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
6100,512006,05/29/2015,0,13,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,1830 SEMINOLE AVENUE,10461,Bronx,211,2,Bronx,13,80,34,BX49,BX49,2029600,New York,40.8540683,-73.84792886,1026318.944,250474.1398
1216,227386,05/21/2015,13,0,OnCurb,Alive,Good,Ulmus parvifolia,Chinese elm,4orMore,Helpful,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,55 OCEAN AVENUE,11225,Brooklyn,309,3,Brooklyn,40,43,21,BK60,BK60,3032700,New York,40.66179225,-73.9629236,994536.4656,180387.3286
7736,507519,06/01/2015,4,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,140 HERON LANE,10473,Bronx,209,2,Bronx,18,85,34,BX09,BX09,2000400,New York,40.80647213,-73.85049112,1025639.718,233131.9124
9542,404054,06/03/2015,11,0,OnCurb,Alive,Good,Zelkova serrata,Japanese zelkova,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,38 SILVER LAKE ROAD,10301,Staten Island,501,5,Staten Island,49,61,24,SI35,SI35,5007500,New York,40.63182151,-74.09157421,958832.2654,169479.2756
8572,310379,06/02/2015,0,36,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,120-024 83 AVENUE,11415,Kew Gardens,409,4,Queens,29,27,15,QN60,QN60,4077500,New York,40.70849423,-73.83132521,1031014.297,197445.0658
5858,515969,05/29/2015,22,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1500 PELHAM PARKWAY SOUTH,10461,Bronx,211,2,Bronx,13,80,34,BX49,BX49,2029600,New York,40.85713503,-73.84336371,1027579.847,251593.6904
3020,306859,05/26/2015,11,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,1or2,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,65-001 KISSENA BOULEVARD,11367,Flushing,408,4,Queens,24,25,16,QN38,QN38,4122702,New York,40.73718187,-73.81434139,1035700.824,207906.3582
7098,222932,05/31/2015,15,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,498 13 STREET,11215,Brooklyn,306,3,Brooklyn,39,44,21,BK37,BK37,3016700,New York,40.66248589,-73.97957879,989915.5966,180638.5246
3184,340221,05/26/2015,4,0,OnCurb,Alive,Poor,Tilia cordata,littleleaf linden,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,45-016 111 STREET,11368,Corona,404,4,Queens,21,35,13,QN25,QN25,4038302,New York,40.74822025,-73.85395015,1024717.512,211907.2009
4056,342475,05/27/2015,5,0,OnCurb,Alive,Good,Tilia cordata,littleleaf linden,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,73-010 34 AVENUE,11372,Jackson Heights,403,4,Queens,25,34,13,QN28,QN28,4028900,New York,40.75288693,-73.89303742,1013885.137,213591.7828
